timestamp,price,number,color,colorseries,num_plus_color,num_times_color
20201001393,25437,7,green,0,7,0
20201001394,25499,9,green,0,9,0
20201001395,25466,6,red,2,8,12
20201001396,25477,7,green,0,7,0
20201001397,25496,6,red,2,8,12
20201001398,25404,4,red,2,6,8
20201001399,25469,9,green,0,9,0
20201001400,25424,4,red,2,6,8
20201001401,25475,5,green + violet,1,6,5
20201001402,25433,3,green,0,3,0
20201001403,25482,2,red,2,4,4
20201001404,25466,6,red,2,8,12
20201001405,25408,8,red,2,10,16
20201001406,25457,7,green,0,7,0
20201001407,25400,0,red + violet,3,3,0
20201001408,25415,5,green + violet,1,6,5
20201001409,25415,5,green + violet,1,6,5
20201001410,25498,8,red,2,10,16
20201001411,25450,0,red + violet,3,3,0
20201001412,25469,9,green,0,9,0
20201001413,25417,7,green,0,7,0
20201001414,25471,1,green,0,1,0
20201001415,25433,3,green,0,3,0
20201001416,25449,9,green,0,9,0
20201001417,25426,6,red,2,8,12
20201001418,25463,3,green,0,3,0
20201001419,25427,7,green,0,7,0
20201001420,25451,1,green,0,1,0
20201001421,25408,8,red,2,10,16
20201001422,25461,1,green,0,1,0
20201001423,25497,7,green,0,7,0
20201001424,25486,6,red,2,8,12
20201001425,25413,3,green,0,3,0
20201001426,25486,6,red,2,8,12
20201001427,25497,7,green,0,7,0
20201001428,25445,5,green + violet,1,6,5
20201001429,25465,5,green + violet,1,6,5
20201001430,25421,1,green,0,1,0
20201001431,25455,5,green + violet,1,6,5
20201001432,25484,4,red,2,6,8
20201001433,25420,0,red + violet,3,3,0
20201001434,25423,3,green,0,3,0
20201001435,25471,1,green,0,1,0
20201001436,25486,6,red,2,8,12
20201001437,25405,5,green + violet,1,6,5
20201001438,25493,3,green,0,3,0
20201001439,25404,4,red,2,6,8
20201001440,25495,5,green + violet,1,6,5
20201001441,25485,5,green + violet,1,6,5
20201001442,25459,9,green,0,9,0
20201001443,25430,0,red + violet,3,3,0
20201001444,25472,2,red,2,4,4
20201001445,25422,2,red,2,4,4
20201001446,25420,0,red + violet,3,3,0
20201001447,25441,1,green,0,1,0
20201001448,25493,3,green,0,3,0
20201001449,25450,0,red + violet,3,3,0
20201001450,25458,8,red,2,10,16
20201001451,25439,9,green,0,9,0
20201001452,25460,0,red + violet,3,3,0
20201001453,25413,3,green,0,3,0
20201001454,25450,0,red + violet,3,3,0
20201001455,25427,7,green,0,7,0
20201001456,25458,8,red,2,10,16
20201001457,25484,4,red,2,6,8
20201001458,25403,3,green,0,3,0
20201001459,25419,9,green,0,9,0
20201001460,25428,8,red,2,10,16
20201001461,25490,0,red + violet,3,3,0
20201001462,25480,0,red + violet,3,3,0
20201001463,25475,5,green + violet,1,6,5
20201001464,25427,7,green,0,7,0
20201001465,25493,3,green,0,3,0
20201001466,25403,3,green,0,3,0
20201001467,25483,3,green,0,3,0
20201001468,25422,2,red,2,4,4
20201001469,25448,8,red,2,10,16
